# echo 
CS15B036_LAB ['q3', 'q2', 'q1']
CS15B003_LAB ['q3', 'q2', 'q1']
AE13B020_LAB ['q3', 'q2', 'q1']
CS15B005_LAB ['q3', 'q2', 'q1']
CS15B004_LAB ['q3', 'q2', 'q1']
CS15B014_LAB ['q3', 'q2', 'q1']
CS15B040_LAB ['q3', 'q2', 'q1']
CS15B061_LAB ['q3', 'q2', 'q1']
CS15B016_LAB ['q3', 'q2', 'q1']
CS15B018_LAB ['q3', 'q2', 'q1']
CS15B052_LAB ['q3', 'q2', 'q1']
CS15B006_LAB ['q3', 'q2', 'q1']
CS15B056_LAB ['q3', 'q2', 'q1']
CS15B029_LAB ['q3', 'q2', 'q1']
CS15B002_LAB ['q3', 'q2', 'q1']
CS15B032_LAB ['q3', 'q2', 'q1']
CS15B033_LAB ['q3', 'q2', 'q1']
CS15B039_LAB ['q3', 'q2', 'q1']
CS15B020_LAB ['q3', 'q2', 'q1']
CS15B015_LAB ['q3', 'q2', 'q1']
CS15B057_LAB ['q3', 'q2', 'q1']
CS15B059_LAB ['q3', 'q2', 'q1']
CS15B038_LAB ['q3', 'q2', 'q1']
CS15B042_LAB ['q3', 'q2', 'q1']
CS15B010_LAB ['q3', 'q2', 'q1']
CS15B048_LAB ['q3', 'q2', 'q1']
CS15B025_LAB ['q3', 'q2', 'q1']
CS15B034_LAB ['q3', 'q2', 'q1']
CS15B007_LAB ['q3', 'q2', 'q1']
CS15B050_LAB ['q3', 'q2', 'q1']
CS15B060_LAB ['q3', 'q2', 'q1']
CS15B053_LAB ['q3', 'q2', 'q1']
CS15B008_LAB ['q3', 'q2', 'q1']
CS15B009_LAB ['q3', 'q2', 'q1']
CS15B023_LAB ['q3', 'q2', 'q1']
CS15B013_LAB ['q3', 'q2', 'q1']
CS15B058_LAB ['q3', 'q2', 'q1']
CS15B031_LAB ['q3', 'q2', 'q1']
CS15B043_LAB ['q3', 'q2', 'q1']
CS15B012_LAB ['q3', 'q2', 'q1']
CS15B027_LAB ['q3', 'q2', 'q1']
CS15B037_LAB ['q3', 'q2', 'q1']
CS15B022_LAB ['q3', 'q2', 'q1']
CS15B024_LAB ['q3', 'q2', 'q1']
CS15B047_LAB ['q3', 'q2', 'q1']
CS15B044_LAB ['q3', 'q2', 'q1']
CS15B049_LAB ['q3', 'q2', 'q1']
CS15B054_LAB ['q3', 'q2', 'q1']
CS15B001_LAB ['q3', 'q2', 'q1']
CS15B035_LAB ['q3', 'q2', 'q1']
CS15B046_LAB ['q3', 'q2', 'q1']
CS15B011_LAB ['q3', 'q2', 'q1']
CS15B028_LAB ['q3', 'q2', 'q1']
CS15B030_LAB ['q3', 'q2', 'q1']
